Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
Eine Stufe überschreiten,Eine Stufe überschreiten,Metapher,Stufe,etwas beginnen,,,
Eine Sündflut mit dem Tintenfaß machen,Eine Sündflut mit dem Tintenfaß machen,Metapher,Sündflut,Viele Worte schreiben,,,
einem anderen in die Äpfel gehen oder in die Kirschen,einem anderen in die Äpfel gehen oder in die Kirschen,Metapher,Äpfel,stehlen,,,
"Einem Tyrannen zu Füßen liegen, der seine Hand ins warme Blut des Erstgeborenen eines Vertheidigers seines freien Vaterlandes eintaucht","Einem Tyrannen zu Füßen liegen, der seine Hand ins warme Blut des Erstgeborenen eines Vertheidigers seines freien Vaterlandes eintaucht",Metapher,Füße,Ein Land wird von einem besonders grausamen Herrscher geführt,,,
"einen Himmel von Glückseligkeit über jemandem aufgehen lassen, in dessen Lichtmeer sich alle anderen Gefühle verklären, oder untergingen","einen Himmel von Glückseligkeit über jemandem aufgehen lassen, in dessen Lichtmeer sich alle anderen Gefühle verklären, oder untergingen",Metapher,Himmel,jemanden sehr glücklich machen,,,
einen Thron besitzen,einen Thron besitzen,Metapher,Thron,herrschen,,,
entfernen,entfernen,Metapher,entfernen,nicht mehr für etwas einstehen,,,
entfesselt,entfesselt,Metapher,entfesselt,etwas wird seiner Grenzen entledigt (z.B. der Geist),,,
entfliehendes Leben,entfliehendes Leben,Metapher,entfliehen,Zustand der Selbstunwirksamkeit,,,
erdrückend,erdrückend,Metapher,erdrückend,ein schlechtes Gefühl gebend,,,
Es tagte wieder in mir. Das hohe Wesen hatte meinen Geist aus seinem Grabe gerufen.,Es tagte wieder in mir. Das hohe Wesen hatte meinen Geist aus seinem Grabe gerufen.,Metapher,Grabe,Beschrieben wird die Rückkehr der Lebensfreude,,,
es weit bringen,es weit bringen,Metapher,weit,viel erreichen,,,
etw. Berg ab erzählen,etw. Berg ab erzählen,Metapher,Berg,Etwas vom Höhepunkt aus erzählen,,,
Etwas (z.B. ein Buch) wird verschlungen,Etwas (z.B. ein Buch) wird verschlungen,Metapher,verschlungen,man ist sehr begeistert von etwas,,,
etwas am Hals haben,etwas am Hals haben,Metapher,Hals,sich um etwas kümmern müssen,,,
etwas ans Herz drücken,etwas ans Herz drücken,Metapher,drücken,etwas sehr gern haben,,,
etwas auf dem Buckel haben,etwas auf dem Buckel haben,Metapher,Buckel,etwas erlebt haben,,,
Etwas auf dem Herzen haben,Etwas auf dem Herzen haben,Metapher,Herzen,bedrückt sein,,,
etwas auf die Spur kommen,etwas auf die Spur kommen,Metapher,Spur,etwas herausfinden,,,
etwas auf musikalische Grundsätze bauen,etwas auf musikalische Grundsätze bauen,Metapher,bauen,von den Lehren der Musik sind andere abgeleitet,,,
