Ursprung,Ziel,Typ
wie in einen wolkenlosen Himmel,Florentin,Ungerichtet
wie Segen vom Himmel herab,Florentin,Ungerichtet
Gewisse Bäume sind nur zum Abhauen gut,Die Honigmonathe,Ungerichtet
"bändigt einmal den Strom, wenn ihr die Dämme eingerissen habt",Die Honigmonathe,Ungerichtet
mit dem Schrecken davon kommen,Die Honigmonathe,Ungerichtet
in guten Händen sein,Die Honigmonathe,Ungerichtet
den Kopf verrücken,Die Honigmonathe,Ungerichtet
mit sich selbst im Kriege,Die Honigmonathe,Ungerichtet
Nur Stürme reinigen die Luft,Die Honigmonathe,Ungerichtet
alle ihre ausgeworfenen Netze zieht sie leer wieder zurück,Die Honigmonathe,Ungerichtet
Katze im Sack,Die Honigmonathe,Ungerichtet
kleiner Seitengang,Die Honigmonathe,Ungerichtet
ins tiefste Elend stürzen,Die Honigmonathe,Ungerichtet
wie mit Flammenzungen eingegraben bleiben,Rodrich,Ungerichtet
in das bunte Gewebe deines Schicksals eingreifen,Rodrich,Ungerichtet
in das Grab der höchsten Freude versenkt,Rodrich,Ungerichtet
"auf morschem, verfallenen Grund bauen",Rodrich,Ungerichtet
wie aus einem Guß geformt,Rodrich,Ungerichtet
den eigenen Namen für eine handvoll tauber Nüsse hingeben,Rodrich,Ungerichtet
in dem Strom gemeinen Wirkens,Rodrich,Ungerichtet
Stufen geselliger Verhältnisse,Rodrich,Ungerichtet
gigantisch über den Trümmern der Vorzeit hinschreiten,Rodrich,Ungerichtet
mit den Trümmern seiner Herrlichkeit spielen,Rodrich,Ungerichtet
das überfließende Herz eröffnen,Rodrich,Ungerichtet
sich in etwas versenken,Rodrich,Ungerichtet
auf dem früher geebneten Wege fortziehen,Rodrich,Ungerichtet
auf schlimmere Wege führen,Rodrich,Ungerichtet
in abgeschlossener Welt leben,Rodrich,Ungerichtet
eine abgeschlossene Welt sein,Rodrich,Ungerichtet
die ganze Welt offenbaren,Rodrich,Ungerichtet
Regeln über den Haufen werfen,Rodrich,Ungerichtet
keine Rückschritte führen zum Ziele,Rodrich,Ungerichtet
Ursprung und Zweck der That fallen zusammen,Rodrich,Ungerichtet
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Evremont,Ungerichtet
eine Eigenheit / Eigenschaft tritt hervor,Evremont,Ungerichtet
wie aus geheimnisvollen Tiefen heraufblicken,Evremont,Ungerichtet
jemandes Züge stehlen,Feldblumen,Ungerichtet
die sanften Fäden planlosen Fantasierens,Feldblumen,Ungerichtet
Wünsche meines Herzens stehen auf,Feldblumen,Ungerichtet
Welten des Himmels,Feldblumen,Ungerichtet
vor der Hand,Feldblumen,Ungerichtet
jeder Tag zeigt ein Gesicht,Feldblumen,Ungerichtet
im zwiefachen Kerker der Blindheit und Krankheit,Faustine,Ungerichtet
